CODIGO,DESCRICAO,NIVEL_1,estoque_parado_total,lojas_com_estoque_parado,receita,qtd_vendida
450311,"CER.A 46X46 PSI67020       P4 2,58M2",C - PISOS E REVESTIMENTOS,46303.27,8,1544917.1167786364,57544.32
411797,GARFO MESA (AV) SAVANNAH      SH1122,B - UTILIDADES DOMESTICAS,45190.0,8,205864.70012500003,45713.0
411799,FACA MESA (AV) SAVANNAH       SH1124,B - UTILIDADES DOMESTICAS,36535.0,8,161465.74850000002,31607.0
429455,TOM.CJ.1T 2P+T 10A        LGX030 POP,E - MATERIAIS ELETRICOS,36380.0,1,1299370.493865492,281011.0
464493,TRAVESS.050X070 BEM VIVER SUP. FIRME,"K - CAMA, MESA E BANHO",35545.0,8,1571732.3442749116,35731.0
459357,PANO COPA MULTIFLEX  42X065  SORTIDO,"K - CAMA, MESA E BANHO",21991.0,8,161011.5385,22015.0
455048,LAMP.LED  BULBO KIT03 7W BR E27 MBIV,I - ILUMINACAO,19545.0,6,85313.65297727272,7273.0
439683,ASSENTO SNT PLS OVAL UNIVERSAL    BR,U - METAIS E ACESSORIOS,13398.0,8,628538.3457198434,31234.0
472114,PRATO SMES.CER.18CM           092981,B - UTILIDADES DOMESTICAS,12311.0,2,110979.86633484848,11659.0
275675,TIGELA CER.CEREAL 600ML AM E01B-0654,B - UTILIDADES DOMESTICAS,11982.0,3,139411.81382723685,12819.0
104342,"CABO ANTICH.SUP.FLEX(R100M) 2,5MM BR",E - MATERIAIS ELETRICOS,11800.0,8,33962.88,13900.0
439331,MANTA CASAL MICROF.180X220 SORTIDA 2,"K - CAMA, MESA E BANHO",11635.0,9,628166.1073814394,12246.0
451018,"PORCEL.A 90X90  EPO.MARM.CALAC2,40M2",C - PISOS E REVESTIMENTOS,11414.4,6,1791947.5182,18036.0
275674,TIGELA CER.CEREAL 600ML AZ E01B-0824,B - UTILIDADES DOMESTICAS,11019.0,4,127874.61839164337,11837.0
165136,FRONHA AVULSA PRATA          BR 0001,"K - CAMA, MESA E BANHO",9253.0,9,207186.475,9262.0
399366,PAPELEIRA SUSPENSA 2ROLOS BR    0077,U - METAIS E ACESSORIOS,9149.0,7,419116.1937542122,21422.0
396527,TOM.MOD.1M 2P+T 10A      BR 57115030,E - MATERIAIS ELETRICOS,9064.0,3,128091.709375,14008.0
472113,PRATO RASO CER.26CM           092971,B - UTILIDADES DOMESTICAS,8191.0,2,110938.77675,8357.0
393595,TOM.CJ.2T 2P+T 20A       BR 57241066,E - MATERIAIS ELETRICOS,7959.0,3,275237.8681393117,12242.0
471194,"CER.A 68X68 CALLA HD       P4 2,79M2",C - PISOS E REVESTIMENTOS,7228.89,7,262066.0392,8157.96
380586,"CER.A 60X60 CLAS.BRANCO RT P4 2,12M2",C - PISOS E REVESTIMENTOS,6726.76,8,336084.66318000003,7316.12
347263,"CER.A 46X46 PSI66010       P4 2,58M2",C - PISOS E REVESTIMENTOS,6599.639999999999,5,302811.23439,10518.66
448681,"PORCEL.A 58X58 ESM.PTG58580R  2,03M2",C - PISOS E REVESTIMENTOS,6441.19,7,324471.16842,6465.55
447307,VENT.MES.40CM 3V 2X1    VF42 PT M220,D - ELETROS,6080.0,2,4970896.927239529,19804.0
470385,TAPETE ENTR. 040X065 TAPKES  SORTIDO,V - DECORACAO,6064.0,7,189973.18827307693,14888.0
440829,ABRACAD.PLS ELET.       3/4  TMC  PT,E - MATERIAIS ELETRICOS,5915.0,5,21619.641750000003,16915.0
392084,CX.ELET.EX.PLS  5 ENTRADAS PLASTIBOX,E - MATERIAIS ELETRICOS,5686.0,2,155477.42875,16710.0
446526,"CER.A 54X54 FREMONT HD     P4 2,62M2",C - PISOS E REVESTIMENTOS,5444.36,8,406877.893065,12028.42
348807,"CER.A 46X46 PSI62650       P5 2,58M2",C - PISOS E REVESTIMENTOS,5438.64,8,237843.359775,8077.98
471190,"CER.A 67X67 NAUTICO HD     P4 2,71M2",C - PISOS E REVESTIMENTOS,5311.6,6,394035.421395,9951.12
404458,"PORCEL.A 90X90 EPO.CALAC.ORO  2,40M2",C - PISOS E REVESTIMENTOS,5184.0,8,1295549.6904,10044.0
368185,"CER.A 46X46 PSI66110       P4 2,58M2",C - PISOS E REVESTIMENTOS,5131.62,5,236823.24519,8640.42
466073,TAPETE BANH. 38X58 RELAX        SORT,U - METAIS E ACESSORIOS,5102.0,6,152651.66,6563.0
429456,TOM.CJ.2T 2P+T 10A        LGX303 POP,E - MATERIAIS ELETRICOS,5000.0,1,534192.1515833334,29507.0
337916,FRONHA AVULSA UNIQUE         BR 0001,"K - CAMA, MESA E BANHO",4708.0,8,129806.3375,4750.0
347294,"REVEST.A 33X50 RVI62080    P2 2,48M2",C - PISOS E REVESTIMENTOS,4647.52,8,352759.3788,11492.32
270605,CX.ELET.PLS 4X4 AM OCT0G.  57500/004,E - MATERIAIS ELETRICOS,4638.0,9,58243.71000000001,6911.0
466807,TOALHA JG 2PC PIXEL CINTA ROSA  3364,"K - CAMA, MESA E BANHO",4625.0,8,155552.10353125,4666.0
119959,ADAPTA.CX.ELET.AL    3/4   56251/052,E - MATERIAIS ELETRICOS,4623.0,4,83447.945,20696.0
411805,FACA SMESA (AV) SAVANNAH      SH1114,B - UTILIDADES DOMESTICAS,4559.0,7,22077.3525,4632.0
359007,"FILTRO LINHA  5TOM.1,0M  PT     MBIV",E - MATERIAIS ELETRICOS,4355.0,2,727281.244656148,22887.0
452584,"CER.A 60X60 FLORENCA BR  2,50M2",C - PISOS E REVESTIMENTOS,4252.5,8,137028.33375,4325.0
149929,TORNEIRA LAVA.MESA CR B.BX C77  1202,U - METAIS E ACESSORIOS,4222.0,7,2136856.6977583333,13469.0
258519,FECH.IN EM CR  1210       ITALY SOFT,"G - PORTAS, JANELAS E FECHADURAS",3908.0,8,270511.16750000004,6250.0
471189,"CER.A 67X67 NARCISO HD RT  P4 2,71M2",C - PISOS E REVESTIMENTOS,3880.7200000000003,7,269597.779605,6707.25
449529,PROTETOR P/TRAV. 050X070 IMPERM. BR,"K - CAMA, MESA E BANHO",3826.0,3,88649.1165,3878.0
431654,TAPETE BANH.TEC.050X070 DALLAS SORT2,U - METAIS E ACESSORIOS,3779.0,8,146680.11750000002,3821.0
472141,PRATO RASO CER.24CM        AZ 022538,B - UTILIDADES DOMESTICAS,3615.0,2,45627.0955,4046.0
300761,DUCHA OPTIMA          6800W 549 M220,U - METAIS E ACESSORIOS,3517.0,7,782007.9231045455,6232.0
464164,TAPETE BANH. 038X058 RETANG.    6081,U - METAIS E ACESSORIOS,3432.0,6,159658.2338076923,6573.0
464395,SACO LIXO 50L ROLO        PT/50 4879,N - INDUSTRIAL E NEGOCIOS,3412.0,6,102218.235,4872.0
260660,DUCHA GORDUC.4T   5450W C/B     M127,U - METAIS E ACESSORIOS,3339.0,2,321794.1943276899,4512.0
431261,"REVEST.A 10X20 BRK20010       2,00M2",C - PISOS E REVESTIMENTOS,3058.0,5,510227.368,7706.0
440532,FRIGIDEIRA ANTIAD.03PC      PT 05725,B - UTILIDADES DOMESTICAS,3033.0,6,324645.5539102564,3795.0
468649,"CER.A 67X67 PETUNIA HD RT  P4 2,71M2",C - PISOS E REVESTIMENTOS,3010.81,7,158974.015935,4073.13
472115,PRATO SMES.CER.18CM           092778,B - UTILIDADES DOMESTICAS,2980.0,2,24370.205125,2868.0
472119,PRATO SMES.CER.18CM           092865,B - UTILIDADES DOMESTICAS,2963.0,2,32854.864875,3075.0
452172,LUSTRE PLS.SIDES BR 1LP    140270002,I - ILUMINACAO,2958.0,7,117776.785,3261.0
427186,PISO FELP.CHEVRON 60X50     PT 1000,"K - CAMA, MESA E BANHO",2947.0,8,119100.70725,7404.0
472111,PRATO SMES.CER.18CM           090956,B - UTILIDADES DOMESTICAS,2923.0,2,23722.21215,2709.0
119953,CX.ELET.EX.AL X   3/4      COM TAMPA,E - MATERIAIS ELETRICOS,2912.0,3,146354.586,7971.0
472133,PRATO SMES.CER.18CM           102548,B - UTILIDADES DOMESTICAS,2903.0,2,23921.903075,2763.0
472139,PRATO SMES.CER.18CM           074216,B - UTILIDADES DOMESTICAS,2856.0,2,25165.178325,2831.0
472126,PRATO SMES.CER.18CM           100728,B - UTILIDADES DOMESTICAS,2831.0,2,24298.9509,2727.0
472130,PRATO SMES.CER.18CM        RS 101412,B - UTILIDADES DOMESTICAS,2818.0,2,25682.5584,2848.0
472134,PRATO SMES.CER.18CM           091101,B - UTILIDADES DOMESTICAS,2751.0,2,21153.150375,2490.0
472098,PRATO RASO CER.26CM           102543,B - UTILIDADES DOMESTICAS,2744.0,2,32963.056,2773.0
441750,PRATO SMES.CER.20CM BABET   AZ 91659,B - UTILIDADES DOMESTICAS,2735.0,1,39972.24105,2706.0
421741,PRATO SMES.CER.19CM         VM 88337,B - UTILIDADES DOMESTICAS,2694.0,5,28673.60825,2726.0
472106,PRATO RASO CER.26CM           115737,B - UTILIDADES DOMESTICAS,2667.0,2,30702.65625,2664.0
472108,PRATO RASO CER.26CM           127737,B - UTILIDADES DOMESTICAS,2653.0,2,33831.1365,2676.0
466770,"REVEST.A 30X60 BILRO BCO BR   2,28M2",C - PISOS E REVESTIMENTOS,2635.68,7,296201.25297000003,6972.24
464396,SACO LIXO 100L ROLO       PT/25 4886,N - INDUSTRIAL E NEGOCIOS,2613.0,6,65560.88,3097.0
470119,GARRAFA TERM.1L ROLHA        PT 0105,B - UTILIDADES DOMESTICAS,2570.0,8,80001.762,2622.0
258513,FECH.EX EM CR  1201       ITALY SOFT,"G - PORTAS, JANELAS E FECHADURAS",2554.0,7,425866.1165,7854.0
471195,"CER.A 68X68 IVY HD         P4 2,79M2",C - PISOS E REVESTIMENTOS,2547.27,7,146107.81647,3852.99
427187,PISO FELP.CHEVRON 60X50      AZ 5601,"K - CAMA, MESA E BANHO",2535.0,8,73658.8965,4572.0
415015,SENSOR PRESEN.TETO EMB/SOB. 360G  BR,E - MATERIAIS ELETRICOS,2488.0,4,578464.1085227273,13162.0
469421,CADEIRA FIBRA DIANA               PL,O - MOVEIS,2453.0,8,456130.0170000001,2743.0
452576,"PORCEL.A 90X90  ESM.MARM.CETIM2,40M2",C - PISOS E REVESTIMENTOS,2448.0,6,452933.46,4716.0
467603,PRATO SMES.PORC.19CM     ASTER 80033,B - UTILIDADES DOMESTICAS,2439.0,8,41988.1455,3551.0
455282,LAMP.LED  BULBO  T70 30W BR E27 MBIV,I - ILUMINACAO,2420.0,1,739146.1005081586,37271.0
456722,LAMP.LED  BULBO T100 50W BR E27 MBIV,I - ILUMINACAO,2410.0,1,963869.755810606,22804.0
455283,LAMP.LED  BULBO  T80 40W BR E27 MBIV,I - ILUMINACAO,2400.0,1,1078697.0010750892,40409.0
457936,COPO AGUA PLS 470ML         MELANCIA,B - UTILIDADES DOMESTICAS,2340.0,9,8721.636,2135.0
451198,TOALHA JG 2PC NARA            BR 403,"K - CAMA, MESA E BANHO",2328.0,8,75694.10310000001,2177.0
464394,SACO LIXO 30L ROLO        PT/50 4862,B - UTILIDADES DOMESTICAS,2314.0,5,66943.0965,3842.0
415530,"PORCEL.A 90X90 ESM.CALAC. ORO 2,40M2",C - PISOS E REVESTIMENTOS,2296.8,8,286392.7584,2683.2
350311,"LAMP.LED  BULBO     6,5W BR E27 MBIV",I - ILUMINACAO,2278.0,6,16092.72,2136.0
375430,PISO FELP.SANTISTA CEDRO     BG 8044,"K - CAMA, MESA E BANHO",2223.0,8,45777.9,2550.0
466500,"PISO VINIL.LVT 19X130 RAVENA  5,92M2",C - PISOS E REVESTIMENTOS,2214.08,7,166851.7368,2172.64
421745,PRATO SMES.CER.19CM TERRAZZO   92618,B - UTILIDADES DOMESTICAS,2213.0,3,26693.7685,2572.0
427185,PISO FELP.CHEVRON 60X50      ES 1459,"K - CAMA, MESA E BANHO",2192.0,8,44468.529,2897.0
467984,PANO LIMPEZA MULTIUSO 5UN     BT2077,B - UTILIDADES DOMESTICAS,2167.0,8,16444.428,2408.0
442432,TOM.MOD.1M 2P+T 10A      GF 57215030,E - MATERIAIS ELETRICOS,2141.0,3,30158.94,2587.0
427188,PISO FELP.CHEVRON 60X50     AC  240,"K - CAMA, MESA E BANHO",2140.0,8,52138.4325,3387.0
466684,CANECA CAFE VID.263ML        1092542,B - UTILIDADES DOMESTICAS,2139.0,8,21082.7925,1716.0
440828,ABRACAD.PLS ELET.       1/2  TMC  PT,E - MATERIAIS ELETRICOS,2136.0,7,7819.14,5880.0
457489,LAMP.LED  BULBO  T60 20W BR E27 MBIV,I - ILUMINACAO,2100.0,1,503423.8394810212,36771.0
421744,PRATO SMES.CER.19CM SICILIANO  92956,B - UTILIDADES DOMESTICAS,2080.0,9,25384.884,2030.0
342066,"PORCEL.A 60X60 ESM.SENSITIV.FD1,80M2",C - PISOS E REVESTIMENTOS,2079.0,8,178745.89950000003,2583.0
448339,GARFO BOLO (AV) SAVANNAH      SH1132,B - UTILIDADES DOMESTICAS,2058.0,8,10357.6935,2267.0
459684,"PORCEL.A 90X90 ESM.VERS.BG SAT2,40M2",C - PISOS E REVESTIMENTOS,2047.2,8,204431.346,2296.8
382897,"PORCEL.A 58X58 EBR.LILLE BRANC1,68M2",C - PISOS E REVESTIMENTOS,2031.12,8,105265.1124,2047.92
468717,PISO S/ANTID. BASIC 50X70  ROSA 3669,"K - CAMA, MESA E BANHO",2012.0,8,34123.77096153846,2091.0
472186,XICARA CHA CER.180ML C/P      074220,B - UTILIDADES DOMESTICAS,2005.0,2,27551.153,2027.0
470515,GARRAFA TERM.1L ROLHA    PT SR1091/1,B - UTILIDADES DOMESTICAS,1997.0,8,54620.0725,1974.0
466401,FITA LED 5M  IP20 12W/M  AM IR80 12V,I - ILUMINACAO,1983.0,7,294104.52225000004,3996.0
460985,"CER.A 54X54 CASPER MRE HD     2,62M2",C - PISOS E REVESTIMENTOS,1980.72,6,198997.21632,5677.54
472203,CANECA CER.280ML           VD 075985,B - UTILIDADES DOMESTICAS,1974.0,2,20928.97275,1980.0
472109,PRATO RASO CER.24CM           090953,B - UTILIDADES DOMESTICAS,1970.0,2,23764.17225,1956.0
432402,CANECA CER.280ML DALAS     RS 101416,B - UTILIDADES DOMESTICAS,1963.0,2,41924.9775,4076.0
440041,"PORCEL.A 60X120 EPO.CALA.OR.LX2,20M2",C - PISOS E REVESTIMENTOS,1944.8,6,629759.13,4749.8
467654,AP.JANTAR CER.12PC GRECIA     137391,B - UTILIDADES DOMESTICAS,1908.0,6,299544.64050000004,2460.0
280210,LENCOL SOLTE SUPERTONE         VD 58,"K - CAMA, MESA E BANHO",1899.0,9,105496.58,1904.0
470694,PORTA-TRAVESSEIRO MILAO    SORTIDO 7,"K - CAMA, MESA E BANHO",1899.0,8,57362.095,3031.0
459688,"PORCEL.A 90X90 ESM.ELEM.TR SAT2,40M2",C - PISOS E REVESTIMENTOS,1886.4,7,235828.026,2481.6
466741,GUARDANAPO TEC.04UN         BR 48302,B - UTILIDADES DOMESTICAS,1882.0,8,65601.452,1561.0
464786,"CER.A 67X67 ANTUR.BG HD RT P4 2,71M2",C - PISOS E REVESTIMENTOS,1880.74,8,140061.627825,3517.58
459686,"PORCEL.A 90X90 ESM.ELEM.GR SAT2,40M2",C - PISOS E REVESTIMENTOS,1876.8,8,329073.54480000003,3381.6
457910,GARRAFA AGUA VID.1.0L C/T        062,B - UTILIDADES DOMESTICAS,1873.0,9,40501.454,1840.0
472120,PRATO RASO CER.24CM           101166,B - UTILIDADES DOMESTICAS,1869.0,2,22730.211,1791.0
102242,RESIST.DUCH.GOR.4T  5700W       M220,U - METAIS E ACESSORIOS,1868.0,8,77391.825,2264.0
349253,"CER.A 46X46 PSI62680       P5 2,58M2",C - PISOS E REVESTIMENTOS,1862.757,7,71374.2939,2667.72
467655,AP.JANTAR CER.12PC         BR 137392,B - UTILIDADES DOMESTICAS,1841.0,8,235975.11,1916.0
472152,TIGELA CER.500ML          MAR 115503,B - UTILIDADES DOMESTICAS,1834.0,2,26882.13675,1902.0
472140,PRATO FUND.CER.21CM        VD 022527,B - UTILIDADES DOMESTICAS,1830.0,2,20047.749225,1848.0
468001,BANQUETA PLS ICARAI               TC,O - MOVEIS,1825.0,8,71055.19750000001,1891.0
417810,SENSOR PRESEN.FRONT.SOB. 110G     BR,E - MATERIAIS ELETRICOS,1824.0,1,322515.375,7114.0
472123,PRATO FUND.CER.21CM           101171,B - UTILIDADES DOMESTICAS,1822.0,2,19412.17075,1837.0
466706,COPO APERIT.VID.95ML         1096889,B - UTILIDADES DOMESTICAS,1819.0,7,14209.1565,2495.0
462852,DISJ.UNIP.C DIN  20A       GII-C020A,E - MATERIAIS ELETRICOS,1810.0,4,289423.54763589747,32707.0
392149,GUARDANAPO TEC.GOURMET    BG 3374735,B - UTILIDADES DOMESTICAS,1797.0,7,27913.55,1747.0
445881,LUMI.BALIZ.SOLAR ESPETO  3W VD 18615,I - ILUMINACAO,1776.0,7,97208.685,4171.0
467999,BANQUETA PLS ICARAI               VD,O - MOVEIS,1773.0,8,65189.131,1781.0
319871,DUCHA ND BR BLINDADA  6500W 652 M220,U - METAIS E ACESSORIOS,1761.0,8,724266.7910967366,2261.0
466354,TOALHA BNH CELINE BG            1534,"K - CAMA, MESA E BANHO",1756.0,8,98416.2865,1784.0
466700,COPO CERVEJA VID.380ML       1100932,B - UTILIDADES DOMESTICAS,1749.0,8,15121.995,1525.0
468716,PISO S/ANTID. BASIC 50X70 PETRO 2025,"K - CAMA, MESA E BANHO",1736.0,6,61975.8125,3803.0
468000,BANQUETA PLS ICARAI               AZ,O - MOVEIS,1717.0,8,63067.567500000005,1724.0
467602,PRATO FUNDO PORC.21CM    ASTER 80034,B - UTILIDADES DOMESTICAS,1714.0,8,32112.57,1769.0
423336,VENT.MES.50CM 3V        VD50 PT M220,D - ELETROS,1694.0,7,553255.4918167136,1872.0
471498,CHURRASCO JG 02PC           PT 17102,B - UTILIDADES DOMESTICAS,1680.0,8,31104.36,1613.0
472144,PRATO FUND.CER.21CM        RS 101406,B - UTILIDADES DOMESTICAS,1659.0,2,18984.44455,1772.0
459682,"PORCEL.A 20X120 ESM.TAVO.C.EXT1,70M2",C - PISOS E REVESTIMENTOS,1657.5,6,661110.7356,6286.6
74486,ABRACAD.PLS ELET.      1 1/4 TMC  CZ,E - MATERIAIS ELETRICOS,1649.0,8,3046.4700000000003,2500.0
404587,"PORCEL.A 82X82 EPO.CARRA.BC RT2,00M2",C - PISOS E REVESTIMENTOS,1632.0,6,299086.1475,3292.0
472136,PRATO FUND.CER.21CM           074208,B - UTILIDADES DOMESTICAS,1612.0,2,18504.0625,1629.0
472138,PRATO RASO CER.24CM           074212,B - UTILIDADES DOMESTICAS,1587.0,2,23838.1185,1639.0
393065,PLACA CX.ELET.PLS CEGA   3/4 PLASTI.,E - MATERIAIS ELETRICOS,1584.0,1,44802.0875,10386.0
468714,PISO S/ANTID. BASIC 50X70 PEDRA 7717,"K - CAMA, MESA E BANHO",1567.0,5,65754.11690045249,4041.0
258504,FECH.WC EM CR  1220       ITALY SOFT,"G - PORTAS, JANELAS E FECHADURAS",1566.0,7,163383.255,3770.0
360263,"LAMP.LED  DIC.MR16 4,5W AM GU10 MBIV",I - ILUMINACAO,1562.0,2,328050.32,14306.0
467724,COPO ACR. TULIPA 210ML      NT 20320,B - UTILIDADES DOMESTICAS,1551.0,8,21193.725,1818.0
471499,CHURRASCO JG 03PC           PT 17103,B - UTILIDADES DOMESTICAS,1550.0,8,49021.35,1754.0
457162,TOALHA BANHAO SOLARE      OFF WH 403,"K - CAMA, MESA E BANHO",1536.0,7,182067.42312500003,3992.0
466845,"TINT.PVA.CLASSICA   FC 15,0L BR.NEVE",S - TINTAS E QUIMICOS,1536.0,9,675215.82975,2153.0
317101,DUCHA HIGI.C18 GAT.ABS       CR 1850,U - METAIS E ACESSORIOS,1517.0,5,1335682.7127485431,10441.0
395200,LUSTRE ACO/VID.RED.      CR 1L  PAX2,I - ILUMINACAO,1505.0,8,145660.3575,1751.0
468718,PISO S/ANTID. BASIC 50X70    VD 1252,"K - CAMA, MESA E BANHO",1496.0,7,31791.0575,1931.0
446290,"PORCEL.A 90X90 EPO.LIGHT M.WH 1,60M2",C - PISOS E REVESTIMENTOS,1489.6,6,201210.24,1580.8
468647,"CER.A 67X67 CRAVO HD RT    P4 2,71M2",C - PISOS E REVESTIMENTOS,1482.37,3,310153.58136,7636.78
464393,SACO LIXO 15L ROLO       PT/100 4588,B - UTILIDADES DOMESTICAS,1482.0,4,59349.2375,3655.0
410730,PISO FELP.CHARME 50X70        AM 189,"K - CAMA, MESA E BANHO",1450.0,7,59508.561,4493.0
429046,"PORCEL.A 58X58 EBR.BRISTOL BR 1,68M2",C - PISOS E REVESTIMENTOS,1448.16,9,83308.428,1532.16
442431,TOM.MOD.1M 2P+T 20A      GF 57215032,E - MATERIAIS ELETRICOS,1448.0,4,18140.22,1676.0
448451,"REVEST.A 35X58 RVE35910       2,00M2",C - PISOS E REVESTIMENTOS,1446.0,7,47266.233,1414.0
472420,XICARA CAFE PORC.65ML C/P      20090,B - UTILIDADES DOMESTICAS,1428.0,1,8905.302,1128.0
404474,"PORCEL.A 90X90 ESM.STUDIO GRAY2,40M2",C - PISOS E REVESTIMENTOS,1413.6,6,422675.1648,3988.8
382849,DUCHA HIGI.C/DERIV.LIKE           CR,U - METAIS E ACESSORIOS,1396.0,5,1558613.9814,5335.0
467657,AP.JANTAR CER.12PC COLB    PT 137404,B - UTILIDADES DOMESTICAS,1392.0,6,287221.484375,2318.0
452121,FRITAD.ELET.4L AFN-40-BI     PT M220,D - ELETROS,1387.0,7,516742.1212302632,1445.0
433919,AP.JANTAR CER.16PC LOUROS     107403,B - UTILIDADES DOMESTICAS,1384.0,8,295782.0345,1835.0
421739,PRATO RASO CER.26CM TERRAZZO   92616,B - UTILIDADES DOMESTICAS,1365.0,4,22064.133,1479.0
149930,TORNEIRA LAVA.MESA CR B.ALT.C77 1203,U - METAIS E ACESSORIOS,1357.0,7,1030562.9005,4817.0
427189,PISO FELP.CHEVRON 60X50     VH  391,"K - CAMA, MESA E BANHO",1349.0,8,32863.0785,2132.0
467130,FACA JG 5PC CROSS        PT 2556/316,B - UTILIDADES DOMESTICAS,1342.0,8,92427.867,1330.0
430036,"CER.A 60X60 BOULEVARD STRE.EXT2,20M2",C - PISOS E REVESTIMENTOS,1327.4,7,184616.586,3308.8
406820,NICHO 0.25X0.09 MDF KIT 3PC       BR,O - MOVEIS,1327.0,8,144496.27500000002,1857.0
458760,PRATO RASO PORC.28CM    ROSE HO 0503,B - UTILIDADES DOMESTICAS,1325.0,6,40383.777,1814.0
401017,"REVEST.A 7,5X7,5 NORONHA VERDE1,59M2",C - PISOS E REVESTIMENTOS,1322.88,7,129344.796315,1334.01
447306,VENT.MES.40CM 3V 2X1    VF42 PT M127,D - ELETROS,1298.0,2,1722845.539640694,6813.0
428007,MAO FRANCESA ACO 18CM FORTE       PT,Q - BASICOS CONSTRUCAO,1294.0,6,47365.472,5066.0
470398,LUSTRE ACO/VID.       1LP CO PDMCOV2,I - ILUMINACAO,1277.0,9,143130.12,1368.0
472387,XICARA CAFE PORC.65ML C/P      20070,B - UTILIDADES DOMESTICAS,1275.0,3,11585.588875,1306.0
424057,TRILHO LED KIT 3 SPOT BR  7W PT MBIV,I - ILUMINACAO,1263.0,8,212030.94675,1300.0
373660,"CER.A 60X60 DUOMO BIANCO EXT. 2,20M2",C - PISOS E REVESTIMENTOS,1249.6,9,152986.0101,2688.4
429468,INT.SPL CJ.2S 10A         LGX101 POP,E - MATERIAIS ELETRICOS,1247.0,2,135484.84916666668,7049.0
441069,"CER.A 10X10 ACOCA HD10050  P4 1,44M2",C - PISOS E REVESTIMENTOS,1242.72,8,107342.4744,1415.52
446074,"PORCEL.A 60X120 ESM.ROYAL B.SAT2,20M",C - PISOS E REVESTIMENTOS,1240.8,6,488663.1057000001,3484.8
440045,"PORCEL.A 60X120 EPO.ONIX MI LX2,20M2",C - PISOS E REVESTIMENTOS,1236.4,8,133632.13710000002,1122.0
472102,PRATO SMES.CER.18CM           102554,B - UTILIDADES DOMESTICAS,1229.0,1,18040.17075,1856.0
431263,"REVEST.A 10X20 BRK20020       2,00M2",C - PISOS E REVESTIMENTOS,1222.0,7,179965.38000000003,2384.0
443956,CAPA P/CADEIRA MALHA ESTAMP.MARM1185,V - DECORACAO,1221.0,8,48175.47,1736.0
468712,PISO S/ANTID. BASIC 50X70   OFFW 403,"K - CAMA, MESA E BANHO",1221.0,4,63165.305,3798.0
459681,"PORCEL.A 20X120 ESM.TAVO.CAS. 1,70M2",C - PISOS E REVESTIMENTOS,1220.6,8,114376.017,1191.7
459674,"REVEST.A 45X90 RIG PALHA      2,00M2",C - PISOS E REVESTIMENTOS,1218.0,9,111085.59,1268.0
419435,ARAND.LED PLS.   BR 3W QD   AM 18547,I - ILUMINACAO,1214.0,8,218175.125,3857.0
371043,LUSTRE ACO/VID.       1LP YHM101  PD,I - ILUMINACAO,1201.0,8,93503.97000000002,1205.0
471287,XICARA CAFE CER.65ML C/P       90806,B - UTILIDADES DOMESTICAS,1199.0,2,7964.88,882.0
353341,"REVEST.A 21X21 PAST.BRANCO BR 1,90M2",C - PISOS E REVESTIMENTOS,1193.2,7,85349.102475,1425.0
178954,"PORCEL.A 60X60 POL.BIANCO PLS 1,44M2",C - PISOS E REVESTIMENTOS,1189.44,4,281902.40568,1854.72
291605,SUPORTE PLACA MOD.4X2  SLN4703M LLIG,E - MATERIAIS ELETRICOS,1186.0,4,43915.62,2897.0
92444,ACAB.REG.C40 4900 TARGA        CR/PQ,U - METAIS E ACESSORIOS,1180.0,7,136674.888,1525.0
472179,XICARA CHA CER.200ML C/P      092783,B - UTILIDADES DOMESTICAS,1172.0,2,15984.98125,1160.0
461006,"REVEST.A 37X59 BOSTON GRAY HD 2,43M2",C - PISOS E REVESTIMENTOS,1171.26,8,50045.733360000006,1489.59
435979,PROTETOR P/TRAV. 050X070 IMPERM. RIV,"K - CAMA, MESA E BANHO",1170.0,5,82028.576,3017.0
472950,PANO AMER.RET.23X43             0066,B - UTILIDADES DOMESTICAS,1169.0,5,11785.368,2425.0
463432,CUSCUZEIRA ANTIAD.16CM      VM 13185,B - UTILIDADES DOMESTICAS,1168.0,8,300813.80700000003,2808.0
423168,FRITAD.ELET.3.5L  FAMILY   AF30 M220,D - ELETROS,1167.0,9,380828.049,1179.0
386056,LUMI.JARDIM ESPETO SPOT     AM 18428,I - ILUMINACAO,1163.0,6,124187.826,3032.0
472137,XICARA CHA CER.200ML C/P      092875,B - UTILIDADES DOMESTICAS,1163.0,1,40676.86175,2589.0
300808,RESIST.OPTIMA         6800W  11 M220,U - METAIS E ACESSORIOS,1156.0,7,107045.5825,2077.0
421738,PRATO RASO CER.26CM SICILIANO  92954,B - UTILIDADES DOMESTICAS,1154.0,8,22869.81375,1115.0
427510,"CER.A 54X54 LAND GRIS CL HDP4 2,62M2",C - PISOS E REVESTIMENTOS,1147.559,8,67900.085715,2106.48
189137,TOM.MOD.1M 2P+T 10A  SN4165S BR LLIG,E - MATERIAIS ELETRICOS,1137.0,5,73543.365,1377.0
22271,MODULO CEGO 1S       SN4950F BR LLIG,E - MATERIAIS ELETRICOS,1136.0,4,23436.84,2936.0
388737,"PORCEL.A 58X58 ESM.LILLE BG AC1,68M2",C - PISOS E REVESTIMENTOS,1134.0,7,140220.51876,2822.4
403647,PANELA PRESSAO ANTIAD.4.5L   CZ 6776,B - UTILIDADES DOMESTICAS,1129.0,6,580358.10051256,3196.0
458946,LENCOL JG CASAL ESTAMPADOS     SORT.,"K - CAMA, MESA E BANHO",1127.0,6,316999.62000000005,4047.0
